abandoned adj.  1 deserted, forsaken. 2 unrestrained, profligate.
army n.  (pl. -ies) 1 organized armed land force. 2 (prec. By the) the military profession. 3 (often foll. By of) very large number (army of locusts). 4 organized civilian body (salvation army). [french: related to *arm2]
arrange v.  (-ging) 1 put into order; classify. 2 plan or provide for; take measures (arranged a meeting; arrange to see him; arranged for a taxi). 3 agree (arranged it with her). 4 mus. Adapt (a composition) for a particular manner of performance. [french: related to *range]
arrival n.  1 arriving; appearance on the scene. 2 person or thing that has arrived.
arrive v.  (-ving) 1 (often foll. By at, in) reach a destination. 2 (foll. By at) reach (a conclusion etc.). 3 colloq. Become successful. 4 colloq. (of a child) be born. 5 (of a time) come. [latin ripa shore]
arrow n.  1 pointed slender missile shot from a bow. 2 representation of this, esp. Indicating direction. [old english]
art n.  1 a human creative skill or its application. B work showing this. 2 a (in pl.; prec. By the) branches of creative activity concerned with the production of imaginative designs, sounds, or ideas, e.g. Painting, music, writing. B any one of these. 3 creative activity resulting in visual representation (good at music but not art). 4 human skill as opposed to nature (art and nature combined). 5 (often foll. By of) a skill, knack. B cunning; trick, stratagem. 6 (in pl.; usu. Prec. By the) supposedly creative subjects (esp. Languages, literature, and history) as opposed to scientific, technical, or vocational subjects. [latin ars art-]
arthritis n.  Inflammation of a joint or joints.  arthritic adj. & n. [greek arthron joint]
artist n.  1 practitioner of any of the arts, esp. Painting. 2 artiste. 3 person using skill or taste.  artistry n. [french artiste from italian]
artistic adj.  1 having natural skill in art. 2 skilfully or tastefully done. 3 of art or artists.  artistically adv.
artwork n.  1 illustrative material in printed matter. 2 works of art collectively (exhibition of children's artwork).
asbestos n.  1 fibrous silicate mineral. 2 this as a heat-resistant or insulating material. [greek, = unquenchable]
ask v.  1 call for an answer to or about (ask her about it; ask him his name). 2 seek to obtain from someone (ask a favour of). 3 (usu. Foll. By out, in, or over, or to (a function etc.)) Invite (must ask them over; asked her to dinner). 4 (foll. By for) seek to obtain, meet, or be directed to (ask for help; asking for you; ask for the bar).  ask after inquire about (esp. A person). Ask for it slang invite trouble. [old english]
asp n.  Small venomous snake of north africa or southern europe. [greek aspis]
aspect n.  1 viewpoint, feature, etc. To be considered (one aspect of the problem). 2 appearance or look (cheerful aspect). 3 side of a building or location facing a particular direction (southern aspect). [latin adspicio look at]
assembly n.  (pl. -ies) 1 assembling. 2 assembled group, esp. As a deliberative body. 3 assembling of components.
assess v.  1 estimate the size or quality of. 2 estimate the value of (property etc.) For taxation.  assessment n. [latin assideo -sess- sit by]
asset n.  1 useful or valuable person or thing. 2 (usu. In pl.) Property and possessions, esp. That can be set against debts etc. [french asez from latin ad satis to enough]
assist v.  (often foll. By in + verbal noun) help.  assistance n. [latin assisto stand by]
assistant n.  1 (often attrib.) Person who helps, esp. As a subordinate. 2 = *shop assistant.
assume v.  (-ming) 1 (usu. Foll. By that) take to be true. 2 simulate (ignorance etc.). 3 undertake (an office etc.). 4 take or put on (an aspect, attribute, etc.) (assumed immense importance). [latin sumo take]
assuming adj.  Arrogant, presumptuous.
assurance n.  1 emphatic declaration; guarantee. 2 insurance, esp. Life insurance. 3 certainty. 4 self-confidence; assertiveness.
assure v.  (-ring) 1 (often foll. By of) a convince. B tell (a person) confidently (assured him all was well). 2 ensure; guarantee (a result etc.). 3 insure (esp. A life). 4 (as assured adj.) A guaranteed. B self-confident. [latin securus safe]
asthma n.  Respiratory condition marked by wheezing. [greek azo breathe hard]
astrology n.  Study of supposed planetary influence on human affairs.  astrologer n. Astrological adj. Astrologist n. [greek astron star]
astronomy n.  The scientific study of celestial bodies.  astronomer n. [greek astron star, nemo arrange]
asylum n.  1 sanctuary; protection, esp. For fugitives from the law (seek asylum). 2 hist. Institution for the mentally ill or destitute. [greek a- not, sulon right of seizure]
athletic adj.  1 of athletes or athletics. 2 physically strong or agile.  athletically adv. Athleticism n. [latin: related to *athlete]
atlantic adj.  Of or adjoining the ocean between europe and africa to the east and america to the west. [greek: related to *atlas]
atlas n.  Book of maps or charts. [greek atlas, the titan who held up the universe]
atom n.  1 a smallest particle of a chemical element that can take part in a chemical reaction. B this as a source of nuclear energy. 2 minute portion or thing (atom of pity). [greek atomos indivisible]
atomic adj.  1 of or using atomic energy or atomic bombs. 2 of atoms.
attach v.  1 fasten, affix, join. 2 (in passive; foll. By to) be very fond of. 3 attribute or be attributable; assign (can't attach a name to it; no blame attaches to us). 4 accompany; form part of (no conditions are attached). 5 refl. (usu. Foll. By to) take part in; join (attached himself to the team). 6 seize by legal authority. [french from germanic]
attend v.  1 a be present (at) (attended the meeting). B go regularly to (attends church). 2 escort. 3 a (often foll. By to) turn or apply one's mind. B (foll. By to) deal with (attend to the matter). [latin tendo stretch]
attention n.  1 act or faculty of applying one's mind; notice (attention wandered; attract his attention). 2 consideration, care. 3 (in pl.) A courtesies. B sexual advances. 4 erect esp. Military attitude of readiness.
attitude n.  1 opinion or way of thinking; behaviour reflecting this (don't like his attitude). 2 bodily posture; pose. 3 position of an aircraft etc. Relative to given points. [latin aptus fitted]
attorney n.  (pl. -s) 1 lawyer etc. Appointed to act for another in business or legal matters. 2 us qualified lawyer. [french atorner assign]
attract v.  1 (also absol.) (of a magnet etc.) Draw to itself or oneself. 2 arouse interest or admiration in. [latin traho draw]
auburn adj.  Reddish-brown (usu. Of hair). [originally = yellowish white: from latin albus white]
audience n.  1 a assembled listeners or spectators, esp. At a play, concert, etc. B people addressed by a film, book, etc. 2 formal interview with a superior. [latin: related to *audible]
audio n.  (usu. Attrib.) Sound or its reproduction. [latin audio hear]
auditor n.  Person who audits accounts. [french from latin]
august n.  Eighth month of the year. [latin augustus, first roman emperor]
aurora n.  (pl. -s or aurorae) luminous phenomenon, usu. Of streamers of light in the night sky above the northern (aurora borealis) or southern (aurora australis) magnetic pole. [latin, = dawn, goddess of dawn]
authentic adj.  1 of undisputed origin; genuine. 2 reliable, trustworthy.  authentically adv. Authenticity n. [greek authentikos]
author n.  (fem. Authoress) 1 writer, esp. Of books. 2 originator of an idea, event, etc. [latin auctor]
authority n.  (pl. -ies) 1 a power or right to enforce obedience. B (often foll. By for, or to + infin.) Delegated power. 2 (esp. In pl.) Body having authority. 3 influence based on recognized knowledge or expertise. 4 expert. [latin auctoritas]
auto n.  (pl. -s) us colloq. Car. [abbreviation of *automobile]
autumn n.  1 (often attrib.) Season between summer and winter. 2 time of incipient decline.  autumnal adj. [latin autumnus]
available adj.  1 at one's disposal, obtainable. 2 a (of a person) free, not committed. B able to be contacted.  availability n.
avatar n.  (in hindu mythology) descent of a deity etc. To earth in bodily form. [sanskrit, = descent]
ave n.  (in full ave maria) prayer to the virgin mary (luke 1:28). [latin]
avenue n.  1 a broad esp. Tree-lined road or street. B tree-lined path etc. 2 approach (explored every avenue). [french avenir come to]
aviation n.  Science or practice of flying aircraft. [latin: related to *aviary]
avoid v.  1 keep away or refrain from. 2 escape; evade. 3 law quash, annul.  avoidable adj. Avoidance n. [french]
awesome adj.  Inspiring awe; dreaded.
awful adj.  1 colloq. Very bad or unpleasant (has awful writing; awful weather). 2 (attrib.) As an intensifier (awful lot of money). 3 poet. Inspiring awe.
axis n.  (pl. Axes) 1 a imaginary line about which a body rotates. B line which divides a regular figure symmetrically. 2 fixed reference line for the measurement of coordinates etc. 3 (the axis) alliance of germany, italy, and later japan, in the war of 1939–45. [latin, = axle]
babe n.  1 literary baby. 2 innocent or helpless person. 3 us slang young woman. [as *baby]
bachelor n.  1 unmarried man. 2 person with a university first degree.  bachelorhood n. [related to *baccalaureate]
backing n.  1 a support, esp. Financial or moral. B material used for a thing's back or support. 2 musical accompaniment, esp. To a pop singer.
backup n.  (often attrib.) 1 support; reserve (back-up team). 2 computing a making of spare copies of data for safety. B copy so made.
bacon n.  Cured meat from the back or sides of a pig. [french from germanic]
badge n.  1 small flat emblem worn to signify office, membership, etc., or as decoration. 2 thing that reveals a condition or quality. [origin unknown]
bailey n.  (pl. -s) 1 outer wall of a castle. 2 court enclosed by it. [french: related to *bail2]
baker n.  Person who bakes and sells bread, cakes, etc., esp. For a living.
bald adj.  1 lacking some or all hair on the scalp. 2 lacking the usual hair, feathers, leaves, etc. 3 colloq. With a worn surface (bald tyre). 4 plain, direct (bald statement, style).  balding adj. (in senses 1–3). Baldly adv. (in sense 4). Baldness n. [old english]
ballet n.  1 dramatic or representational style of dancing to music. 2 particular piece or performance of ballet.  balletic adj. [french: related to *ball2]
banana n.  1 long curved soft fruit with a yellow skin. 2 treelike plant bearing it.  go bananas slang go mad. [portuguese or spanish, from an african name]
bandwidth n.  Range of frequencies within a given band.
banner n.  1 large sign bearing a slogan or design, esp. In a demonstration or procession; flag. 2 slogan, esp. Political. [latin bandum standard]
baptist n.  1 person who baptizes, esp. John the baptist. 2 (baptist) christian advocating baptism by total immersion.
barbie n.  Austral. Slang barbecue. [abbreviation]
barn n.  Large farm building for storing grain etc. [old english, = barley house]
barrier n.  1 fence etc. That bars advance or access. 2 obstacle (class barriers). [romanic: related to *bar1]
baseball n.  1 game played esp. In the us with a circuit of four bases which batsmen must complete. 2 ball used in this.
baseline n.  1 line used as a base or starting-point. 2 line marking each end of a tennis-court.
basement n.  Floor of a building below ground level.
basic n.  Computer programming language using familiar english words. [beginner's all-purpose symbolic instruction code]
basin n.  1 round open vessel for holding liquids or preparing food in. 2 = *wash-basin. 3 hollow depression. 4 sheltered mooring area. 5 round valley. 6 area drained by a river.  basinful n. (pl. -s). [medieval latin ba(s)cinus]
basis n.  (pl. Bases) 1 foundation or support. 2 main principle or ingredient (on a friendly basis). 3 starting-point for a discussion etc. [greek: related to *base1]
basket n.  1 container made of interwoven cane, reed, wire, etc. 2 amount held by this. 3 the goal in basketball, or a goal scored. 4 econ. Group or range (of currencies). [french]
bathroom n.  1 room with a bath, wash-basin, etc. 2 us room with a lavatory.
batman n.  Army officer's servant. [bat pack-saddle, from french]
battery n.  (pl. -ies) 1 usu. Portable container of an electrically charged cell or cells as a source of current. 2 (often attrib.) Series of cages for the intensive breeding and rearing of poultry or cattle. 3 set of similar units of equipment; series, sequence. 4 emplacement for heavy guns. 5 law unlawful physical violence against a person. [latin: related to *battle]
beverage n.  Formal drink. [latin bibo drink]
bible n.  1 a (prec. By the) christian scriptures of old and new testaments. B (bible) copy of these. 2 (bible) colloq. Authoritative book.  biblical adj. [greek biblia books]
bidding n.  1 command, request, or invitation. 2 bids at an auction or in a card-game.
bikini n.  (pl. -s) two-piece swimsuit for women. [bikini, pacific atoll]
bill n.  Slang = *old bill. [diminutive of william]
billion adj.  & n. (pl. Same or (in sense 3) -s) 1 a thousand million (109). 2 (now less often) a million million (1012). 3 (in pl.) Colloq. A very large number (billions of years).  billionth adj. & n. [french]
bin n.  Large receptacle for rubbish or storage. [old english]
bingo n.  Gambling game in which each player has a card with numbers to be marked off as they are called. [origin uncertain]
biography n.  (pl. -ies) 1 account of a person's life, written usu. By another. 2 these as a literary genre.  biographer n. Biographical adj. [french: related to *bio-]
biology n.  The study of living organisms.  biologist n. [german: related to *bio-]
bird n.  1 two-legged feathered winged vertebrate, egg-laying and usu. Able to fly. 2 slang young woman. 3 slang person. 4 slang prison; prison sentence.  a bird in the hand something secured or certain. The birds and the bees euphem. Sexual activity and reproduction. Birds of a feather similar people. For the birds colloq. Trivial, uninteresting. Get the bird slang be rejected, esp. By an audience. [old english]
birth n.  1 emergence of a baby or young from its mother's body. 2 beginning (birth of civilization). 3 a ancestry (of noble birth). B high or noble birth; inherited position.  give birth to 1 produce (young). 2 be the cause of. [old norse]
birthday n.  1 day on which one was born. 2 anniversary of this.
bishop n.  1 senior clergyman in charge of a diocese. 2  mitre-shaped chess piece. [greek episkopos overseer]
biz n.  Colloq. Business. [abbreviation]
bizarre adj.  Strange; eccentric; grotesque. [french]
blackjack n.  = *pontoon1.
blade n.  1 cutting part of a knife etc. 2 flattened part of an oar, propeller, etc. 3 a flat narrow leaf of grass etc. B broad thin part of a leaf. 4 flat bone, e.g. In the shoulder. [old english]
bleeding adj.  & adv. Coarse slang expressing annoyance or antipathy.
bless v.  (past and past part. Blessed, poet. Blest) 1 ask god to look favourably on, esp. By making the sign of the cross over. 2 consecrate (food etc.). 3 glorify (god). 4 attribute one's good luck to (stars etc.); thank. 5 (usu. In passive) make happy or successful (blessed with children).  bless me (or my soul) exclamation of surprise etc. Bless you! Exclamation of endearment, gratitude, etc., or to a person who has just sneezed. [old english]
blessed adj.  (also poet. Blest) 1 holy. 2 euphem. Cursed (blessed nuisance!). 3 rc ch. Beatified.  blessedness n.
boating n.  Rowing or sailing as recreation.
bobby n.  (pl. -ies) colloq. Police officer. [sir robert peel, 19th-c. Statesman]
body n.  (pl. -ies) 1 whole physical structure, including the bones, flesh, and organs, of a person or an animal, whether dead or alive. 2 = *trunk 2. 3 main or central part; bulk or majority (body of opinion). 4 a group regarded as a unit. B (usu. Foll. By of) collection (body of facts). 5 quantity (body of water). 6 piece of matter (heavenly body). 7 colloq. Person. 8 full or substantial quality of flavour, tone, etc.  in a body all together. [old english]
